X,Y,OBJECTID,Stop,Place,Loca_latitude,Loca_longitude,Description,Street_dir_,Shelt_,Shelter_resp_,Bench,Trash_can,Route_Number,Route_Name
-83.2485600330017,42.4146750190029,3031,5875,,42.4146750186959,-83.2485600326085,McNichols & Trinity,EB,0,,0,0,32,McNichols
-83.2492901280016,42.4149580080028,3032,5876,,42.4149580081756,-83.2492901281169,McNichols & Trinity,WB,0,,0,0,32,McNichols
-83.2474560300016,42.4150030760028,3033,5877,,42.4150030755172,-83.2474560298466,McNichols & Pierson,WB,0,,0,0,32,McNichols
-83.2451619080016,42.4147820370028,3034,5878,,42.4147820369085,-83.2451619077648,McNichols & Braile,EB,0,,0,0,32,McNichols
-83.2439890690016,42.4151060880028,3035,5879,,42.4151060875178,-83.2439890692804,McNichols & Fielding,WB,0,,0,0,32,McNichols
-83.1989229510016,42.4158500240029,3036,6046,,42.415850023923,-83.1989229512802,McNichols & Greenfield,EB,0,,0,1,32,McNichols
-83.1998120480016,42.4161160310028,3037,6049,,42.4161160313925,-83.1998120482179,McNichols & Greenfield,WB,0,,0,0,32,McNichols
-83.2073100050016,42.4159079230029,3038,6134,,42.4159079233552,-83.2073100048424,McNichols & St Marys,WB,0,,0,0,32,McNichols
-83.2056579870016,42.4157379180028,3039,6135,,42.415737918382,-83.2056579867302,McNichols & Mansfield,EB,0,,0,0,32,McNichols
-83.2038620770016,42.4159758760029,3040,6136,,42.4159758762017,-83.2038620773294,McNichols & Prevost,WB,0,,0,0,32,McNichols
-83.2018060980016,42.4158200670028,3041,6137,,42.4158200673628,-83.2018060981933,McNichols & Forrer,EB,0,,0,0,32,McNichols
-83.1972229360016,42.4161670770028,3042,6149,,42.4161670771777,-83.1972229358514,McNichols & Whitcomb,WB,0,,0,1,32,McNichols
-83.1953278390016,42.4160830630028,3043,6150,,42.4160830627208,-83.1953278391508,McNichols & Sussex,EB,0,,0,0,32,McNichols
-83.1946218730016,42.4163019180028,3044,6151,,42.4163019184742,-83.1946218733282,McNichols & Coyle,WB,0,,0,0,32,McNichols
-83.1929221670016,42.4162069810028,3045,6152,,42.4162069807835,-83.1929221669844,McNichols & Robson,EB,0,,0,0,32,McNichols
-83.1924241580016,42.4164158960028,3046,6153,,42.4164158958881,-83.1924241577661,McNichols & Lauder,WB,0,,0,0,32,McNichols
-83.1902950840016,42.4163461200029,3047,6154,,42.4163461197713,-83.1902950844774,McNichols & Marlowe,EB,0,,0,0,32,McNichols
-83.1347288610016,42.4171510860028,3048,6223,,42.4171510855703,-83.1347288610701,McNichols & Fairfield,EB,0,,0,1,32,McNichols
-83.1331810500016,42.4173189900029,3049,6276,,42.4173189904771,-83.1331810496457,McNichols & Wildemere,WB,0,,0,0,32,McNichols
-83.1312348420016,42.4171990470029,3050,6277,,42.4171990466048,-83.1312348416767,McNichols & Parkside,EB,0,,0,0,32,McNichols
-83.1312620390017,42.4173780030029,3051,6278,,42.4173780027748,-83.1312620392279,McNichols & Parkside,WB,0,,0,0,32,McNichols
-83.1293790040016,42.4173970320029,3052,6279,,42.4173970317794,-83.129379004044,McNichols & Princeton,WB,0,,0,0,32,McNichols
-82.9240200220016,42.3974628790028,3053,6514,,42.3974628786665,-82.9240200220405,Cadieux & Gravier,NB,0,,0,0,32,McNichols
-82.9237160270016,42.3966941220029,3054,6516,,42.3966941222616,-82.9237160267424,Cadieux & Rosewood,SB,0,,0,0,32,McNichols
-82.9265630880016,42.4010251370029,3055,6517,,42.4010251370193,-82.9265630876072,Cadieux & Waveney,SB,0,,0,0,32,McNichols
-82.9263041730016,42.4009321090029,3056,6518,,42.4009321086656,-82.9263041733886,Cadieux & Detroit,NB,0,,0,0,32,McNichols
-82.9286859670016,42.4042408740029,3057,6520,,42.4042408738825,-82.9286859670714,Cadieux & Cornwall,SB,0,,0,0,32,McNichols
-82.9286361350016,42.4044748980029,3058,6521,,42.4044748982964,-82.9286361347991,Cadieux & Ontario,NB,0,,0,0,32,McNichols
-82.9297101340016,42.4056938760028,3059,6522,,42.4056938763728,-82.92971013407,Cadieux & Warren,SB,0,,0,0,32,McNichols
-82.9299278620016,42.4064829310028,3060,6525,,42.4064829311241,-82.929927862134,Cadieux & Warren,NB,1,DDOT,0,1,32,McNichols
-83.1899528510016,42.4165429150029,3061,6862,,42.4165429150425,-83.1899528510654,McNichols & Hubbell,WB,0,,0,0,32,McNichols
